"","Respondent","experiment","Choice_Set","Choice","alternative","Philips","Krups","Capacity5","Capacity10","Price59","Price79","Grinder","Filter","urb"
"1",1,1,1,FALSE,1,0,1,0,0,0,1,1,0,0
"2",1,1,1,FALSE,2,0,0,0,1,0,1,1,1,0
"3",1,1,1,TRUE,3,0,1,1,0,0,1,1,0,0
"4",1,2,2,FALSE,1,0,0,1,0,0,1,0,0,0
"5",1,2,2,FALSE,2,1,0,0,0,0,1,1,1,0
"6",1,2,2,TRUE,3,0,1,1,0,0,1,1,0,0
"7",1,3,3,FALSE,1,0,0,0,0,1,0,0,0,0
"8",1,3,3,FALSE,2,0,0,0,0,0,0,1,1,0
"9",1,3,3,TRUE,3,0,1,1,0,0,1,1,0,0
"10",1,4,4,FALSE,1,0,1,1,0,1,0,1,1,0
"11",1,4,4,FALSE,2,0,0,0,0,1,0,0,1,0
"12",1,4,4,TRUE,3,0,1,1,0,0,1,1,0,0
"13",1,5,5,FALSE,1,0,1,0,0,0,1,0,1,0
"14",1,5,5,FALSE,2,1,0,0,1,1,0,1,0,0
"15",1,5,5,TRUE,3,0,1,1,0,0,1,1,0,0
"16",1,6,6,FALSE,1,0,0,1,0,0,1,1,0,0
"17",1,6,6,FALSE,2,1,0,0,0,0,1,0,0,0
"18",1,6,6,TRUE,3,0,1,1,0,0,1,1,0,0
"19",1,7,7,FALSE,1,0,1,0,1,0,0,0,0,0
"20",1,7,7,FALSE,2,1,0,1,0,0,0,0,1,0
"21",1,7,7,TRUE,3,0,1,1,0,0,1,1,0,0
"22",1,8,8,FALSE,1,0,0,0,1,0,1,0,1,0
"23",1,8,8,FALSE,2,0,0,0,0,0,0,1,0,0
"24",1,8,8,TRUE,3,0,1,1,0,0,1,1,0,0
"25",2,9,1,FALSE,1,0,1,0,0,0,1,1,0,0
"26",2,9,1,FALSE,2,0,0,0,1,0,1,1,1,0
"27",2,9,1,TRUE,3,0,1,1,0,0,1,1,0,0
"28",2,10,2,FALSE,1,0,0,1,0,0,1,0,0,0
"29",2,10,2,FALSE,2,1,0,0,0,0,1,1,1,0
"30",2,10,2,TRUE,3,0,1,1,0,0,1,1,0,0
"31",2,11,3,FALSE,1,0,0,0,0,1,0,0,0,0
"32",2,11,3,FALSE,2,0,0,0,0,0,0,1,1,0
"33",2,11,3,TRUE,3,0,1,1,0,0,1,1,0,0
"34",2,12,4,FALSE,1,0,1,1,0,1,0,1,1,0
"35",2,12,4,FALSE,2,0,0,0,0,1,0,0,1,0
"36",2,12,4,TRUE,3,0,1,1,0,0,1,1,0,0
"37",2,13,5,FALSE,1,0,1,0,0,0,1,0,1,0
"38",2,13,5,FALSE,2,1,0,0,1,1,0,1,0,0
"39",2,13,5,TRUE,3,0,1,1,0,0,1,1,0,0
"40",2,14,6,FALSE,1,0,0,1,0,0,1,1,0,0
"41",2,14,6,FALSE,2,1,0,0,0,0,1,0,0,0
"42",2,14,6,TRUE,3,0,1,1,0,0,1,1,0,0
"43",2,15,7,FALSE,1,0,1,0,1,0,0,0,0,0
"44",2,15,7,FALSE,2,1,0,1,0,0,0,0,1,0
"45",2,15,7,TRUE,3,0,1,1,0,0,1,1,0,0
"46",2,16,8,FALSE,1,0,0,0,1,0,1,0,1,0
"47",2,16,8,FALSE,2,0,0,0,0,0,0,1,0,0
"48",2,16,8,TRUE,3,0,1,1,0,0,1,1,0,0
"49",3,17,1,TRUE,1,0,1,0,0,0,1,1,0,0
"50",3,17,1,FALSE,2,0,0,0,1,0,1,1,1,0
"51",3,17,1,FALSE,3,0,1,1,0,0,1,1,0,0
"52",3,18,2,FALSE,1,0,0,1,0,0,1,0,0,0
"53",3,18,2,FALSE,2,1,0,0,0,0,1,1,1,0
"54",3,18,2,TRUE,3,0,1,1,0,0,1,1,0,0
"55",3,19,3,FALSE,1,0,0,0,0,1,0,0,0,0
"56",3,19,3,FALSE,2,0,0,0,0,0,0,1,1,0
"57",3,19,3,TRUE,3,0,1,1,0,0,1,1,0,0
"58",3,20,4,FALSE,1,0,1,1,0,1,0,1,1,0
"59",3,20,4,FALSE,2,0,0,0,0,1,0,0,1,0
"60",3,20,4,TRUE,3,0,1,1,0,0,1,1,0,0
"61",3,21,5,FALSE,1,0,1,0,0,0,1,0,1,0
"62",3,21,5,FALSE,2,1,0,0,1,1,0,1,0,0
"63",3,21,5,TRUE,3,0,1,1,0,0,1,1,0,0
"64",3,22,6,FALSE,1,0,0,1,0,0,1,1,0,0
"65",3,22,6,FALSE,2,1,0,0,0,0,1,0,0,0
"66",3,22,6,TRUE,3,0,1,1,0,0,1,1,0,0
"67",3,23,7,TRUE,1,0,1,0,1,0,0,0,0,0
"68",3,23,7,FALSE,2,1,0,1,0,0,0,0,1,0
"69",3,23,7,FALSE,3,0,1,1,0,0,1,1,0,0
"70",3,24,8,FALSE,1,0,0,0,1,0,1,0,1,0
"71",3,24,8,FALSE,2,0,0,0,0,0,0,1,0,0
"72",3,24,8,TRUE,3,0,1,1,0,0,1,1,0,0
"73",4,25,1,FALSE,1,0,1,0,0,0,1,1,0,0
"74",4,25,1,TRUE,2,0,0,0,1,0,1,1,1,0
"75",4,25,1,FALSE,3,0,1,1,0,0,1,1,0,0
"76",4,26,2,FALSE,1,0,0,1,0,0,1,0,0,0
"77",4,26,2,TRUE,2,1,0,0,0,0,1,1,1,0
"78",4,26,2,FALSE,3,0,1,1,0,0,1,1,0,0
"79",4,27,3,FALSE,1,0,0,0,0,1,0,0,0,0
"80",4,27,3,TRUE,2,0,0,0,0,0,0,1,1,0
"81",4,27,3,FALSE,3,0,1,1,0,0,1,1,0,0
"82",4,28,4,FALSE,1,0,1,1,0,1,0,1,1,0
"83",4,28,4,FALSE,2,0,0,0,0,1,0,0,1,0
"84",4,28,4,TRUE,3,0,1,1,0,0,1,1,0,0
"85",4,29,5,FALSE,1,0,1,0,0,0,1,0,1,0
"86",4,29,5,TRUE,2,1,0,0,1,1,0,1,0,0
"87",4,29,5,FALSE,3,0,1,1,0,0,1,1,0,0
"88",4,30,6,TRUE,1,0,0,1,0,0,1,1,0,0
"89",4,30,6,FALSE,2,1,0,0,0,0,1,0,0,0
"90",4,30,6,FALSE,3,0,1,1,0,0,1,1,0,0
"91",4,31,7,FALSE,1,0,1,0,1,0,0,0,0,0
"92",4,31,7,FALSE,2,1,0,1,0,0,0,0,1,0
"93",4,31,7,TRUE,3,0,1,1,0,0,1,1,0,0
"94",4,32,8,FALSE,1,0,0,0,1,0,1,0,1,0
"95",4,32,8,TRUE,2,0,0,0,0,0,0,1,0,0
"96",4,32,8,FALSE,3,0,1,1,0,0,1,1,0,0
"97",5,33,1,FALSE,1,0,1,0,0,0,1,1,0,1
"98",5,33,1,TRUE,2,0,0,0,1,0,1,1,1,1
"99",5,33,1,FALSE,3,0,1,1,0,0,1,1,0,1
"100",5,34,2,FALSE,1,0,0,1,0,0,1,0,0,1
"101",5,34,2,TRUE,2,1,0,0,0,0,1,1,1,1
